tipo_registro,entidad,nit_entidad,departamento_entidad,id_proceso,referencia,nombre_proceso,descripcion,fecha_publicacion,precio_base,modalidad,adjudicado,proveedor,nit_proveedor,departamento_proveedor,valor_adjudicado,url_secop,noticias_entidad,nivel_menciones,es_proceso_candidato_s05,es_entidad_candidata_s05
candidato_s05,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADISTICA (DANE),899999027,Distrito Capital de Bogotá,CO1.REQ.2577563,EDP-545-2022,TS_MERCADO_2022_GEIH_TH Prestación de servicios profesionales para procesar la información de la GEIH para el análisis de resultados y generación de nuevos indicadores de migración laboral y series de,TS_MERCADO_2022_GEIH_TH Prestación de servicios profesionales para procesar la información de la GEIH para el análisis de resultados y generación de nuevos indicadores de migración laboral y series de mercado laboral desestacionalizadas.,,57333333,Contratación directa,No,,,,,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2597221,3,baja,True,True
candidato_s05,(Secretaría Distrital de Integración Social),8999990619,Distrito Capital de Bogotá,CO1.REQ.5610848,SDIS-CPS-302405-2024,CONTRATO DE PRESTACIÓN DE SERVICIOS PROFESIONALES,"PRESTAR SERVICIOS PROFESIONALES A LA SUBDIRECCION DE CONTRATACION, EN 
LOS DIFERENTES TRAMITES CONTRACTUALES QUE LE SEAN ASIGNADOS.",,53579880,Contratación directa,No,,,,,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5507297,2,baja,True,True
candidato_s05,GOBERNACION DEL CHOCÓ.,891680010,No Definido,CO1.REQ.6085225,CD-PS-GDCH-186SS-2024,PRESTACION DE SERVICIOS,"PRESTACIÓN DE SERVICIOS PROFESIONALES DE UN
(A) NUTRICIONISTA, QUE SIRVA DE APOYO A LA 
DIMENSION DE SEGURIDAD ALIMENTARIA Y 
NUTRICIONAL DE LA SECRETARIA DE SALUD 
DEPARTAMENTAL DEL CHOCO",,24000000,Contratación directa,No,,,,,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5973718,2,baja,True,True
candidato_s05,CENTRO NACIONAL DE MEMORIA  HISTORICA,900492141,Distrito Capital de Bogotá,CO1.REQ.9999054,427-2026,Prestar servicios profesionales al Centro Nacional de Memoria Histórica para apoyar el proceso curatorial de los dispositivos de apropiación social originados en la estrategia de investigación- creaci,"Prestar servicios profesionales al Centro Nacional de Memoria Histórica para apoyar el proceso curatorial de los dispositivos de apropiación social originados en la estrategia de investigación-creación denominada Voces en movimiento, en el marco del proyecto de inversión  Adecuación del Mecanismo no Judicial de Contribución a la Verdad y la Memoria Histórica en el Marco de la Paz Total .",,53088112,Contratación directa,No,,,,,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9849815,1,baja,True,True
candidato_s05,FONDO UNICO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,8001316486,Distrito Capital de Bogotá,CO1.REQ.5496747,FTIC-PS-012-2024,SEBASTIAN ORLANDO TRIANA DURAN,"Prestar servicios profesionales al Ministerio/Fondo Único de TIC en la revisión y verificación de la información técnica en el trámite de la gestión de contratación para desarrollar los objetivos estratégicos y misionales de la entidad, en articulación con el Modelo Integrado de Gestión (MIG).",,113508000,Contratación directa,No,,,,,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5391230,3,baja,True,True
candidato_s05,DEPARTAMENTO DEL META,8920001488,Meta,CO1.REQ.4164181,SSM-CD-1232-2023,ASISTIR Y APOYAR A LAS ENTIDADES TERRITORIALES Y SU RED PRESTADORA PUBLICA Y PRIVADA EN EL SEGUIMIENTO DE LA APLICACIÓN DE LOS LINEAMIENTOS TECNICOS Y OPERATIVOS DEL PROGRAMA DE TURBERCULOSIS Y HANSEN,ASISTIR Y APOYAR A LAS ENTIDADES TERRITORIALES Y SU RED PRESTADORA PUBLICA Y PRIVADA EN EL SEGUIMIENTO DE LA APLICACIÓN DE LOS LINEAMIENTOS TECNICOS Y OPERATIVOS DEL PROGRAMA DE TURBERCULOSIS Y HANSEN,,18000000,Contratación directa,No,,,,,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4068652,1,baja,True,True
candidato_s05,SECRETARIA DE EDUCACION DEL DISTRITO,8999990619,Distrito Capital de Bogotá,CO1.REQ.1440311,SED-SCP-DIIP-PSP-186-2020,CATHERINE ALEXANDRA RODRIGUEZ URBINA,"Prestar servicios profesionales especializados  en la Dirección de Inclusión e Integración de Poblaciones, en el desarrollo de acciones técnicas orientadas al fortalecimiento de los procesos contra la explotación sexual comercial de niños, niñas y adolescentes- ESCNNA y la trata de personas, en articulación con la categoría de  Prevención y Protección con Enfoque de Género",,31250000,Contratación directa,No,,,,,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1395550,1,baja,True,True
candidato_s05,GOBIERNO DEPARTAMENTAL,8001136727,Tolima,CO1.REQ.4423663,CD-2023-PS-1370,PRESTACION DE SERVICIOS,"PRESTAR POR SUS PROPIOS MEDIOS Y CON PLENA AUTONOMÍA LOS SERVICIOS PROFESIONALES DE UNA PSICÓLOGA    PARA APOYAR, FORTALECER LAS INSTANCIAS DE PARTICIPACIÓN COMUNITARIA EN SALUD, EN DESARROLLO DEL.  PROYECTO FORTALECIMIENTO DE LA AUTORIDAD SANITARIA DESDE LA INSPECCIÓN, VIGILANCIA Y CONTROL EN EL TOLIMA.",,32000000,Contratación directa,No,,,,,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4326132,4,baja,True,True
candidato_s05,ALCALDÍA DE POPAYÁN,891580006,Cauca,CO1.REQ.8014897,MP-SD-CD-080-2025,PRESTAR SERVICIOS DE APOYO A LA GESTION  A LA SECRETARIA DE DESARROLLO  AGROAMBIENTAL Y DE FOMENTO ECONOMICO QUE PERMITAN  LA EJECUCION DEL PROYECTO  DENOMINADO FORTALECIMIENTO INTEGRAL DE LA GESTION,PRESTAR SERVICIOS DE APOYO A LA GESTION  A LA SECRETARIA DE DESARROLLO AGROAMBIENTAL Y DE FOMENTO ECONOMICO QUE PERMITAN  LA EJECUCION DEL PROYECTO DENOMINADO FORTALECIMIENTO INTEGRAL DE LA GESTION AMBIENTAL URBANA Y RURAL EN EL MUNICIPIO DE POPAYAN LEY 99 DE 93,,13800000,Contratación directa,No,,,,,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7897148,1,baja,True,True
candidato_s05,SUPERINTENDENCIA DE NOTARIADO Y REGISTRO,899999007,Distrito Capital de Bogotá,CO1.REQ.1695423,CD 017 DE 2021,CONTRATACION DIRECTA 017 DE 2021,CONTRATACION DE UN (1) AUXILIAR ADMINISTRATIVO DE APOYO A LAS ACTIVIDADES DOCUMENTALES Y ADMINISTRATIVAS QUE SE REQUIERAN EN LA DIRECCIÓN DE CONTRATACIÓN DE LA SNR.,,23115434,Contratación directa,No,,,,,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1642752,9,media,True,True
