rango,id_del_proceso,entidad,departamento,objeto,modalidad,precio_base,razones,menciones_entidad,nivel_menciones,referencia_citada_en_prensa,url_secop,limite
1,CO1.REQ.5407319,MINISTERIO DEL DEPORTE,Distrito Capital de Bogotá,AUNAR ESFUERZOS ENTRE EL MINISTERIO DEL DEPORTE Y LOS ORGANISMOS DE ACCIÓN COMUNAL PARA LA RECUPERACIÓN Y/O MEJORAMIENTO,Contratación directa,168750000,entidad en prensa; contratación directa; 0 respuestas de proveedores,3,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5304274,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
2,CO1.REQ.1397521,SECRETARIA DE EDUCACION DEL DISTRITO,Distrito Capital de Bogotá,HIJAS DE MARÍA AUXILIADORA  PROVINCIA NUESTRA SEÑORA DE LAS NIEVES,Contratación directa,154773714,entidad en prensa; contratación directa; 0 respuestas de proveedores,1,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1358321,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
3,CO1.REQ.361409,MINISTERIO DE AGRICULTURA Y DESARROLLO RURAL,Distrito Capital de Bogotá,CAJA COLOMBIANA DE SUBSIDIO FAMILIAR COLSUBSIDIO,Contratación directa,150000000,entidad en prensa; contratación directa; 0 respuestas de proveedores,4,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.347909,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
4,CO1.REQ.9894713,DEPARTAMENTO NACIONAL DE PLANEACIÓN,Distrito Capital de Bogotá,ANGIE LORENA CASTRO HERNANDEZ,Contratación directa,131138230,entidad en prensa; contratación directa; 0 respuestas de proveedores,9,media,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9744307,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
5,CO1.REQ.9555770,INSTITUTO DE DESARROLLO URBANO,Distrito Capital de Bogotá,CONTRATO DE PRESTACION,Contratación directa,113630000,entidad en prensa; contratación directa; 0 respuestas de proveedores,8,media,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9405169,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
6,CO1.REQ.5496747,FONDO UNICO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Distrito Capital de Bogotá,SEBASTIAN ORLANDO TRIANA DURAN,Contratación directa,113508000,entidad en prensa; contratación directa; 0 respuestas de proveedores,3,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5391230,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
7,CO1.REQ.708187,MINISTERIO DE AGRICULTURA Y DESARROLLO RURAL,Distrito Capital de Bogotá,Prestar sus servicios profesionales en la formulación; estructuración y seguimiento del componente jurídico de los proye,Contratación directa,99900000,entidad en prensa; contratación directa; 0 respuestas de proveedores,4,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.676575,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
8,CO1.REQ.1779960,MINISTERIO DE AGRICULTURA Y DESARROLLO RURAL,Distrito Capital de Bogotá,PS-0236-2021,Contratación directa,99381981,entidad en prensa; contratación directa; 0 respuestas de proveedores,4,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1726356,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
9,CO1.REQ.2604471,MINISTERIO DE MINAS Y ENERGIA,Distrito Capital de Bogotá,apoyar al Grupo de Soluciones Digitales en las actividades relacionadas con la actualización,Contratación directa,95680000,entidad en prensa; contratación directa; 0 respuestas de proveedores,10,media,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2535756,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
10,CO1.REQ.1721969,MINISTERIO DE AMBIENTE Y DESARROLLO SOSTENIBLE,Distrito Capital de Bogotá,RICARDO ALFREDO AHUMADA MORA,Contratación directa,84000000,entidad en prensa; contratación directa; 0 respuestas de proveedores,4,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1667600,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
